date,product_id,product_name,units_sold,price
2023-01-01,101,Product A,0,19.99
2023-01-02,101,Product A,0,19.99
2023-01-03,101,Product A,0,19.99
2023-01-04,101,Product A,0,19.99
2023-01-05,101,Product A,0,19.99
2023-01-06,101,Product A,0,19.99
2023-01-07,101,Product A,0,19.99
2023-01-08,101,Product A,0,19.99
2023-01-09,101,Product A,0,19.99
2023-01-10,101,Product A,0,19.99
2023-01-11,101,Product A,0,19.99
2023-01-12,101,Product A,0,19.99
2023-01-13,101,Product A,0,19.99
2023-01-14,101,Product A,0,19.99
2023-01-15,101,Product A,0,19.99
2023-01-16,101,Product A,0,19.99
2023-01-17,101,Product A,0,19.99
2023-01-18,101,Product A,0,19.99
2023-01-19,101,Product A,0,19.99
2023-01-20,101,Product A,0,19.99
2023-01-21,101,Product A,0,19.99
2023-01-22,101,Product A,0,19.99
2023-01-23,101,Product A,0,19.99
2023-01-24,101,Product A,0,19.99
2023-01-25,101,Product A,0,19.99
2023-01-26,101,Product A,0,19.99
2023-01-27,101,Product A,0,19.99
2023-01-28,101,Product A,0,19.99
2023-01-29,101,Product A,0,19.99
2023-01-30,101,Product A,0,19.99
2023-01-31,101,Product A,0,19.99
2023-01-31,101,Product A,0,19.99
2023-02-01,101,Product A,0,19.99
2023-02-02,101,Product A,0,19.99
2023-02-03,101,Product A,0,19.99
2023-02-04,101,Product A,0,19.99
2023-02-05,101,Product A,0,19.99
2023-02-06,101,Product A,0,19.99
2023-02-07,101,Product A,0,19.99
2023-02-08,101,Product A,0,19.99
2023-02-09,101,Product A,0,19.99
2023-02-10,101,Product A,0,19.99
2023-02-11,101,Product A,0,19.99
2023-02-12,101,Product A,0,19.99
2023-02-13,101,Product A,0,19.99
2023-02-14,101,Product A,0,19.99
2023-02-15,101,Product A,0,19.99
2023-02-16,101,Product A,0,19.99
2023-02-17,101,Product A,0,19.99
2023-02-18,101,Product A,0,19.99
2023-02-19,101,Product A,0,19.99
2023-02-20,101,Product A,0,19.99
2023-02-21,101,Product A,0,19.99
2023-02-22,101,Product A,0,19.99
2023-02-23,101,Product A,0,19.99
2023-02-24,101,Product A,0,19.99
2023-02-25,101,Product A,0,19.99
2023-02-26,101,Product A,0,19.99
2023-02-27,101,Product A,0,19.99
2023-03-02,101,Product A,0,19.99
2023-03-03,101,Product A,0,19.99
2023-03-04,101,Product A,0,19.99
2023-03-05,101,Product A,0,19.99
2023-03-06,101,Product A,0,19.99
2023-03-07,101,Product A,0,19.99
2023-03-08,101,Product A,0,19.99
2023-03-09,101,Product A,0,19.99
2023-03-10,101,Product A,0,19.99
2023-03-11,101,Product A,0,19.99
2023-03-12,101,Product A,0,19.99
2023-03-13,101,Product A,0,19.99
2023-03-14,101,Product A,0,19.99
2023-03-15,101,Product A,0,19.99
2023-03-16,101,Product A,0,19.99
2023-03-17,101,Product A,0,19.99
2023-03-18,101,Product A,0,19.99
2023-03-19,101,Product A,0,19.99
2023-03-20,101,Product A,0,19.99
2023-03-21,101,Product A,0,19.99
2023-03-22,101,Product A,0,19.99
2023-03-23,101,Product A,0,19.99
2023-03-24,101,Product A,0,19.99
2023-03-25,101,Product A,0,19.99
2023-03-26,101,Product A,0,19.99
2023-03-27,101,Product A,0,19.99
2023-03-28,101,Product A,0,19.99
2023-03-29,101,Product A,0,19.99
2023-03-30,101,Product A,0,19.99
2023-03-31,101,Product A,0,19.99
2023-04-01,101,Product A,0,19.99
2023-04-01,101,Product A,0,19.99
2023-04-02,101,Product A,0,19.99
2023-04-03,101,Product A,0,19.99
2023-04-04,101,Product A,0,19.99
2023-04-05,101,Product A,0,19.99
2023-04-06,101,Product A,0,19.99
2023-04-07,101,Product A,0,19.99
2023-04-08,101,Product A,0,19.99
2023-04-09,101,Product A,0,19.99
2023-04-10,101,Product A,0,19.99
2023-04-11,101,Product A,0,19.99
2023-04-12,101,Product A,0,19.99
2023-04-13,101,Product A,0,19.99
2023-04-14,101,Product A,0,19.99
2023-04-15,101,Product A,0,19.99
2023-04-16,101,Product A,0,19.99
2023-04-17,101,Product A,0,19.99
2023-04-18,101,Product A,0,19.99
2023-04-19,101,Product A,0,19.99
2023-04-20,101,Product A,0,19.99
2023-04-21,101,Product A,0,19.99
2023-04-22,101,Product A,0,19.99
2023-04-23,101,Product A,0,19.99
2023-04-24,101,Product A,0,19.99
2023-04-25,101,Product A,0,19.99
2023-04-26,101,Product A,0,19.99
2023-04-27,101,Product A,0,19.99
2023-04-28,101,Product A,0,19.99
2023-04-29,101,Product A,0,19.99
2023-04-30,101,Product A,0,19.99
2023-05-01,101,Product A,0,19.99
2023-05-02,101,Product A,0,19.99
2023-05-03,101,Product A,0,19.99
2023-05-04,101,Product A,0,19.99
2023-05-05,101,Product A,0,19.99
2023-05-06,101,Product A,0,19.99
2023-05-07,101,Product A,0,19.99
2023-05-08,101,Product A,0,19.99
2023-05-09,101,Product A,0,19.99
2023-05-10,101,Product A,0,19.99
2023-05-11,101,Product A,0,19.99
2023-05-12,101,Product A,0,19.99
2023-05-13,101,Product A,0,19.99
2023-05-14,101,Product A,0,19.99
2023-05-15,101,Product A,0,19.99
2023-05-16,101,Product A,0,19.99
2023-05-17,101,Product A,0,19.99
2023-05-18,101,Product A,0,19.99
2023-05-19,101,Product A,0,19.99
2023-05-20,101,Product A,0,19.99
2023-05-21,101,Product A,0,19.99
2023-05-22,101,Product A,0,19.99
2023-05-23,101,Product A,0,19.99
2023-05-24,101,Product A,0,19.99
2023-05-25,101,Product A,0,19.99
2023-05-26,101,Product A,0,19.99
2023-05-27,101,Product A,0,19.99
2023-05-28,101,Product A,0,19.99
2023-05-29,101,Product A,0,19.99
2023-05-30,101,Product A,0,19.99
2023-05-31,101,Product A,0,19.99
2023-05-31,101,Product A,1,19.99
